hla_a_lineage,expression_z_score,expression_class,confidence_tier,source_doi,source_detail,evidence_note
A*01,0.571977358,high,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z > 0.3 threshold"
A*02,-0.199640693,medium,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z between -0.3 and 0.3"
A*03,-0.843080377,low,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z < -0.3 threshold"
A*11,-0.004027039,medium,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z between -0.3 and 0.3"
A*23,0.249772355,medium,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z between -0.3 and 0.3"
A*24,0.888052226,high,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z > 0.3 threshold; highest expressing lineage"
A*25,-0.183847574,medium,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z between -0.3 and 0.3"
A*26,0.146106574,medium,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z between -0.3 and 0.3"
A*29,0.353104162,high,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z > 0.3 threshold"
A*30,0.276154341,medium,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z between -0.3 and 0.3"
A*31,-0.738496867,low,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z < -0.3 threshold"
A*32,-0.852502273,low,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z < -0.3 threshold"
A*33,-0.901013919,low,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z < -0.3 threshold"
A*34,0.335026402,high,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z > 0.3 threshold"
A*36,0.205103208,medium,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z between -0.3 and 0.3"
A*43,-0.259378732,medium,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z between -0.3 and 0.3"
A*66,0.167058686,medium,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z between -0.3 and 0.3"
A*68,0.322350098,high,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z > 0.3 threshold"
A*69,0.461472556,high,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z > 0.3 threshold"
A*74,-1.086653215,low,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z < -0.3 threshold; lowest expressing lineage"
A*80,-0.459031495,low,A,10.1126/science.aam8825,"Ramsuran 2018 Science Table S1","z < -0.3 threshold"
